x,y,z,dim,sdir_x,sdir_y,sdir_z,fruit_id,tree,vis_front,vis_left,vis_right,vis_any,n_views,lean_deg,sax_x,sax_y,sax_z
0.2166935226984771,4.239266095465364,-0.0730039788563026,0.0773,-0.4045082875292503,0.7006290717589556,0.5877856319495551,0,0,False,False,False,False,0,0.0,0.0,0.0,1.0
0.1442679057960199,4.277128247544081,-0.0853967587828067,0.0808,3.070867360663954e-07,0.9396925696192464,0.3420202839047466,1,0,True,True,True,True,3,0.0343212880610369,5.423272209194972e-10,0.0005990194443499,0.9999998205878364
0.2691522682070564,2.178211575966889,-0.1356181015369905,0.0579,0.4155628533847783,0.7496955091398657,0.5150380165213232,2,0,False,False,False,False,0,0.0,0.0,0.0,1.0
0.2236633367935311,2.294590929586328,-0.1072652368953941,0.0614,-0.017452787064462,0.9998476885124468,0.0,3,0,False,False,True,True,1,0.0,-1.882352263369984e-09,0.0,1.0
-0.71116091496925,3.062544422642394,0.039243265475611,0.0625,-0.0871559525516261,0.9961946797362544,0.0,4,0,False,True,True,True,2,12.73026239506953,-0.134378197770294,0.1746472438451312,0.9754182898537976
-0.6862822839448652,3.042827817855914,0.0984625215404181,0.0533,0.1736485731612425,0.9848076832758084,0.0,5,0,False,False,False,False,0,0.0,0.0,0.0,1.0
-0.7223349295785861,2.9708477151729418,0.0875442171170766,0.0846,2.985419960352096e-07,0.9135454659719648,-0.4067366243676324,6,0,False,False,True,True,1,0.2160650405809152,-2.785032448513032e-09,0.0037710374187387,0.9999928896131144
-0.5935521192520241,2.120869374301146,-0.0951453664596997,0.0522,-0.1684898478740583,0.955554819109668,-0.2419218031506601,7,0,False,True,True,True,2,0.0,-8.912497517590389e-13,-3.3774841666228562e-12,1.0
0.2979675065801896,2.094462420283885,0.0168477751526255,0.0432,0.6039562447647843,0.4890737154810144,0.6293200737583505,8,0,False,False,True,True,1,0.0,5.639836519379449e-16,1.6919509558138341e-15,1.0
0.2353645797008485,2.147594836630525,0.0634312791153451,0.0768,0.4924034872412682,0.0868240581727856,0.8660256281860527,9,0,False,True,False,True,1,0.0184798602251389,-0.0001357297462413,-0.0002925848177724,0.9999999479857788
0.0323535558562801,2.136637125403707,0.1160273487689697,0.0762,-0.1271412566586225,0.9046548619519434,-0.4067366243676324,10,0,False,True,True,True,2,0.001493844799202,-5.680264301707676e-07,2.6066320425861084e-05,0.999999999660112
0.1161060969764449,2.1386070046504937,0.1092649424233493,0.057,0.0858315168126554,0.9810602609071918,0.1736482513311082,11,0,True,True,False,True,2,0.0,2.5523534768958504e-10,4.0851030235489166e-10,1.0
